IdList,name,Superkingdom
2702,Gardnerella vaginalis,Bacteria
2051,Mobiluncus curtisii,Bacteria
2741,Peptococcus niger,Bacteria
158,Treponema denticola,Bacteria
1656,Actinomyces viscosus,Bacteria
109790,Lactobacillus jensenii,Bacteria
1591,Lactobacillus sp.,Bacteria
1488,Clostridium acetobutylicum,Bacteria
238,Elizabethkingia meningoseptica,Bacteria
53345,Enterococcus durans,Bacteria
1286,Staphylococcus simulans,Bacteria
589,Providencia sp.,Bacteria
9483,Callithrix jacchus,Eukaryota
9544,Macaca mulatta,Eukaryota
9541,Macaca fascicularis,Eukaryota
2681586,Human betaherpesvirus,Viruses
45589,Scheffersomyces shehatae,Eukaryota
5597,Scedosporium boydii,Eukaryota
5861,Plasmodium yoelii,Eukaryota
838,Prevotella,Bacteria
2096,Mycoplasmoides gallisepticum,Bacteria
539,Eikenella corrodens,Bacteria
306,Pseudomonas sp.,Bacteria
28141,Cronobacter sakazakii,Bacteria
46126,Staphylococcus chromogenes,Bacteria
61647,Pluralibacter gergoviae,Bacteria
6239,Caenorhabditis elegans,Eukaryota
202950,Acinetobacter baylyi,Bacteria
1243,Leuconostoc,Bacteria
1824,Nocardia asteroides,Bacteria
1280,Staphylococcus aureus,Bacteria
29442,Pseudomonas tolaasii,Bacteria
384602,Micrococcus flavus,Bacteria
29438,Pseudomonas savastanoi,Bacteria
1422,Geobacillus stearothermophilus,Bacteria
67780,Edwardsiella ictaluri,Bacteria
57493,Kocuria,Bacteria
1047171,Zymoseptoria tritici,Eukaryota
5272,Microbotryum violaceum,Eukaryota
1405,Bacillus mycoides,Bacteria
339,Xanthomonas campestris,Bacteria
552,Erwinia amylovora,Bacteria
254758,Siminovitchia fortis,Bacteria
189290,Meloidogyne,Eukaryota
86664,Bacillus flexus,Bacteria
1934,Streptomyces thermovulgaris,Bacteria
34393,Microsporum audouinii,Eukaryota
614,Serratia liquefaciens,Bacteria
1648,Erysipelothrix rhusiopathiae,Bacteria
4754,Pneumocystis carinii,Eukaryota
5691,Trypanosoma brucei,Eukaryota
1697,Corynebacterium ammoniagenes,Bacteria
5078,Penicillium griseofulvum,Eukaryota
5544,Trichoderma harzianum,Eukaryota
2748,Carnobacterium divergens,Bacteria
27334,Penicillium expansum,Eukaryota
1313,Streptococcus pneumoniae,Bacteria
47877,Pseudomonas amygdali,Bacteria
56460,Xanthomonas vesicatoria,Bacteria
1582,Lactobacillus casei,Bacteria
4932,Saccharomyces cerevisiae,Eukaryota
5833,Plasmodium falciparum,Eukaryota
5807,Cryptosporidium parvum,Eukaryota
5665,Leishmania mexicana,Eukaryota
12073,Coxsackievirus B4,Viruses
186938,Human respirovirus,Viruses
351073,Mammalian orthoreovirus,Viruses
11034,Sindbis virus,Viruses
42068,Pneumocystis jirovecii,Eukaryota
5664,Leishmania major,Eukaryota
870730,Ogataea angusta,Eukaryota
7054,Photinus pyralis,Eukaryota
64631,Benjaminiella poitrasii,Eukaryota
33959,Lactobacillus johnsonii,Bacteria
1698,Brevibacterium epidermidis,Bacteria
36740,Dermabacter hominis,Bacteria
647,Aeromonas sp.,Bacteria
662,Vibrio,Bacteria
210,Helicobacter pylori,Bacteria
9611,Nocardia canis,Eukaryota
456327,Xanthomonas euvesicatoria,Bacteria
33069,Pseudomonas viridiflava,Bacteria
1464,Paenibacillus larvae,Bacteria
29379,Staphylococcus auricularis,Bacteria
724,Haemophilus,Bacteria
5722,Trichomonas vaginalis,Eukaryota
5671,Leishmania infantum,Eukaryota
5659,Leishmania amazonensis,Eukaryota
316,Stutzerimonas stutzeri,Bacteria
1776,Mycolicibacterium flavescens,Bacteria
562,Escherichia coli,Bacteria
126385,Providencia alcalifaciens,Bacteria
1427,Bacillus thermoproteolyticus,Bacteria
671,Vibrio proteolyticus,Bacteria
2148,Acholeplasma laidlawii,Bacteria
519353,Echinococcus equinus,Eukaryota
2315449,Yamadazyma tenuis,Eukaryota
1584,Lactobacillus delbrueckii,Bacteria
1597,Lacticaseibacillus paracasei,Bacteria
357276,Phocaeicola dorei,Bacteria
1596,Lactobacillus gasseri,Bacteria
727,Haemophilus influenzae,Bacteria
34387,Trichophyton tonsurans,Eukaryota
34392,Microsporum,Eukaryota
63400,Trichophyton benhamiae,Eukaryota
669,Vibrio harveyi,Bacteria
63402,Nannizzia gypsea,Eukaryota
34391,Epidermophyton floccosum,Eukaryota
101480,Trichophyton interdigitale,Eukaryota
29917,Cladosporium cladosporioides,Eukaryota
29918,Cladosporium herbarum,Eukaryota
182092,Botrytis fabae,Eukaryota
48100,Alternaria solani,Eukaryota
28171,Vibrio aestuarianus,Bacteria
